order_id,customer_id,order_purchase_timestamp,order_status,order_delivered_customer_date,order_estimated_delivery_date
order_000025,csess_0000004,2024-07-22 16:06:00,delivered,2024-08-15 16:06:00,2024-08-19 16:06:00
order_000026,csess_0000004,2024-12-22 13:25:00,delivered,2025-01-09 13:25:00,2025-01-14 13:25:00
order_000027,csess_0000004,2025-12-14 13:15:00,delivered,2026-01-01 13:15:00,2025-12-30 13:15:00
order_000028,csess_0000005,2025-09-30 21:44:00,delivered,2025-10-07 21:44:00,2025-10-13 21:44:00
order_000029,csess_0000005,2025-03-26 09:39:00,delivered,2025-04-05 09:39:00,2025-04-10 09:39:00
order_000030,csess_0000005,2025-11-22 11:12:00,delivered,2025-11-30 11:12:00,2025-11-30 11:12:00
order_000031,csess_0000005,2025-08-10 11:21:00,delivered,2025-08-27 11:21:00,2025-08-30 11:21:00
order_000032,csess_0000005,2025-03-24 13:27:00,delivered,2025-04-03 13:27:00,2025-04-07 13:27:00
order_000033,csess_0000006,2025-06-23 10:04:00,delivered,2025-07-05 10:04:00,2025-07-15 10:04:00
order_000034,csess_0000006,2025-12-06 16:08:00,canceled,,2025-12-29 16:08:00
order_000035,csess_0000006,2025-01-21 14:11:00,delivered,2025-02-19 14:11:00,2025-02-18 14:11:00
order_000036,csess_0000007,2025-06-18 15:23:00,delivered,2025-07-05 15:23:00,2025-07-06 15:23:00
order_000037,csess_0000009,2024-10-27 07:04:00,delivered,2024-11-07 07:04:00,2024-11-13 07:04:00
order_000038,csess_0000009,2025-09-02 16:29:00,delivered,2025-09-09 16:29:00,2025-09-11 16:29:00
order_000039,csess_0000009,2024-01-03 19:45:00,delivered,2024-01-24 19:45:00,2024-01-31 19:45:00
order_000040,csess_0000008,2025-11-07 12:05:00,delivered,2025-11-16 12:05:00,2025-11-25 12:05:00
order_000041,csess_0000010,2024-12-22 12:33:00,delivered,2024-12-29 12:33:00,2025-01-06 12:33:00
order_000042,csess_0000010,2024-09-10 13:10:00,delivered,2024-10-01 13:10:00,2024-09-30 13:10:00
order_000043,csess_0000010,2024-12-25 09:33:00,canceled,,2025-01-19 09:33:00
order_000044,csess_0000010,2025-06-01 11:18:00,delivered,2025-07-01 11:18:00,2025-06-24 11:18:00
order_000045,csess_0000010,2024-09-29 06:32:00,delivered,2024-10-15 06:32:00,2024-10-16 06:32:00
order_000046,csess_0000010,2025-10-08 12:01:00,delivered,2025-10-31 12:01:00,2025-10-30 12:01:00
order_000047,csess_0000011,2024-12-10 20:59:00,delivered,2025-01-02 20:59:00,2025-01-03 20:59:00
order_000048,csess_0000013,2024-12-26 04:48:00,delivered,2025-01-11 04:48:00,2025-01-09 04:48:00
order_000049,csess_0000015,2025-11-28 12:45:00,delivered,2025-12-09 12:45:00,2025-12-08 12:45:00
order_000050,csess_0000015,2024-12-22 08:49:00,delivered,2025-01-14 08:49:00,2025-01-18 08:49:00
order_000051,csess_0000016,2025-03-24 07:34:00,delivered,2025-04-03 07:34:00,2025-04-03 07:34:00
order_000052,csess_0000016,2024-12-27 21:16:00,shipped,2024-12-31 21:16:00,2025-01-05 21:16:00
order_000053,csess_0000016,2025-12-06 23:54:00,delivered,2025-12-27 23:54:00,2025-12-25 23:54:00
order_000054,csess_0000017,2024-04-11 07:51:00,delivered,2024-04-19 07:51:00,2024-04-27 07:51:00
order_000055,csess_0000017,2025-11-15 21:25:00,delivered,2025-12-06 21:25:00,2025-12-06 21:25:00
order_000056,csess_0000019,2025-10-17 06:54:00,delivered,2025-10-23 06:54:00,2025-10-29 06:54:00
order_000057,csess_0000019,2025-08-15 14:45:00,delivered,2025-08-17 14:45:00,2025-08-23 14:45:00
order_000058,csess_0000020,2024-08-14 13:25:00,delivered,2024-09-09 13:25:00,2024-09-10 13:25:00
order_000059,csess_0000020,2025-06-14 11:48:00,canceled,,2025-06-25 11:48:00
order_000060,csess_0000020,2025-12-14 22:24:00,delivered,2026-01-05 22:24:00,2026-01-07 22:24:00
order_000061,csess_0000021,2025-08-16 13:23:00,delivered,2025-09-02 13:23:00,2025-09-06 13:23:00
order_000062,csess_0000021,2025-03-16 06:55:00,delivered,2025-04-17 06:55:00,2025-04-13 06:55:00
order_000063,csess_0000021,2025-12-02 20:18:00,delivered,2025-12-04 20:18:00,2025-12-10 20:18:00
order_000064,csess_0000024,2024-06-15 10:48:00,shipped,2024-06-24 10:48:00,2024-06-28 10:48:00
order_000065,csess_0000024,2025-12-08 17:13:00,delivered,2025-12-24 17:13:00,2025-12-26 17:13:00
order_000066,csess_0000023,2025-11-15 11:50:00,delivered,2025-11-23 11:50:00,2025-11-25 11:50:00
order_000067,csess_0000025,2025-06-19 09:41:00,canceled,,2025-06-27 09:41:00
order_000068,csess_0000025,2025-05-05 12:04:00,delivered,2025-05-19 12:04:00,2025-05-22 12:04:00
order_000069,csess_0000025,2024-08-28 07:11:00,delivered,2024-09-16 07:11:00,2024-09-22 07:11:00
order_000070,csess_0000025,2025-11-16 19:20:00,delivered,2025-11-22 19:20:00,2025-11-23 19:20:00
order_000071,csess_0000027,2024-07-11 10:01:00,delivered,2024-07-31 10:01:00,2024-08-06 10:01:00
order_000072,csess_0000026,2025-01-12 07:09:00,delivered,2025-01-30 07:09:00,2025-01-30 07:09:00
order_000073,csess_0000027,2025-07-15 14:39:00,shipped,2025-07-22 14:39:00,2025-07-31 14:39:00
order_000074,csess_0000027,2025-12-11 13:53:00,canceled,,2026-01-09 13:53:00
order_000075,csess_0000028,2025-06-14 11:44:00,delivered,2025-07-11 11:44:00,2025-07-06 11:44:00
order_000076,csess_0000028,2025-08-26 08:40:00,delivered,2025-09-15 08:40:00,2025-09-11 08:40:00
order_000077,csess_0000028,2025-11-19 11:59:00,delivered,2025-11-26 11:59:00,2025-12-03 11:59:00
order_000078,csess_0000029,2024-08-10 22:23:00,delivered,2024-08-23 22:23:00,2024-08-21 22:23:00
order_000079,csess_0000030,2024-03-17 07:39:00,delivered,2024-03-28 07:39:00,2024-04-03 07:39:00
order_000080,csess_0000029,2025-12-21 17:51:00,delivered,2026-01-20 17:51:00,2026-01-11 17:51:00
order_000081,csess_0000031,2025-10-01 10:18:00,delivered,2025-10-26 10:18:00,2025-10-25 10:18:00
order_000082,csess_0000031,2024-12-15 10:37:00,delivered,2025-01-06 10:37:00,2025-01-08 10:37:00
order_000083,csess_0000031,2025-01-01 10:49:00,delivered,2025-01-11 10:49:00,2025-01-19 10:49:00
order_000084,csess_0000032,2024-01-08 11:03:00,delivered,2024-01-25 11:03:00,2024-01-25 11:03:00
order_000085,csess_0000032,2025-10-03 19:37:00,unavailable,,2025-10-12 19:37:00
order_000086,csess_0000033,2025-02-15 12:28:00,delivered,2025-03-04 12:28:00,2025-03-12 12:28:00
order_000087,csess_0000033,2024-04-18 11:44:00,delivered,2024-05-16 11:44:00,2024-05-12 11:44:00
order_000088,csess_0000034,2025-01-05 08:38:00,delivered,2025-01-15 08:38:00,2025-01-17 08:38:00
order_000089,csess_0000034,2024-07-14 11:27:00,delivered,2024-08-07 11:27:00,2024-08-08 11:27:00
order_000090,csess_0000036,2025-03-27 10:13:00,delivered,2025-04-17 10:13:00,2025-04-17 10:13:00
order_000091,csess_0000036,2025-03-19 13:37:00,delivered,2025-04-14 13:37:00,2025-04-14 13:37:00
order_000092,csess_0000036,2025-11-26 12:49:00,canceled,,2025-12-03 12:49:00
order_000093,csess_0000036,2025-12-07 21:50:00,delivered,2026-01-14 21:50:00,2026-01-04 21:50:00
order_000094,csess_0000037,2025-11-29 13:26:00,shipped,2025-12-21 13:26:00,2025-12-26 13:26:00
order_000095,csess_0000037,2025-05-01 21:08:00,canceled,,2025-05-10 21:08:00
order_000096,csess_0000038,2025-02-26 10:54:00,delivered,2025-03-25 10:54:00,2025-03-26 10:54:00
order_000097,csess_0000038,2025-06-11 13:09:00,delivered,2025-06-30 13:09:00,2025-06-27 13:09:00
order_000098,csess_0000038,2025-09-23 13:00:00,delivered,2025-10-12 13:00:00,2025-10-14 13:00:00
order_000099,csess_0000038,2025-10-27 10:22:00,delivered,2025-11-18 10:22:00,2025-11-25 10:22:00
order_000100,csess_0000039,2025-11-04 19:19:00,delivered,2025-11-19 19:19:00,2025-12-02 19:19:00
order_000101,csess_0000039,2025-09-03 10:10:00,delivered,2025-09-22 10:10:00,2025-09-29 10:10:00
order_000102,csess_0000039,2024-05-13 09:36:00,delivered,2024-05-22 09:36:00,2024-05-29 09:36:00
order_000103,csess_0000040,2024-02-08 13:25:00,shipped,2024-02-11 13:25:00,2024-02-17 13:25:00
order_000104,csess_0000040,2025-03-31 21:58:00,delivered,2025-04-05 21:58:00,2025-04-13 21:58:00
order_000105,csess_0000040,2025-05-01 12:34:00,delivered,2025-05-06 12:34:00,2025-05-14 12:34:00
order_000106,csess_0000040,2024-08-19 08:15:00,delivered,2024-08-30 08:15:00,2024-09-07 08:15:00
order_000107,csess_0000040,2025-12-27 18:08:00,delivered,2026-01-26 18:08:00,2026-01-23 18:08:00
order_000108,csess_0000040,2024-08-16 07:55:00,delivered,2024-08-29 07:55:00,2024-08-29 07:55:00
order_000109,csess_0000040,2024-06-20 22:22:00,delivered,2024-07-03 22:22:00,2024-07-04 22:22:00
order_000110,csess_0000041,2025-11-20 17:33:00,delivered,2025-12-07 17:33:00,2025-12-13 17:33:00
order_000111,csess_0000041,2025-05-17 13:23:00,delivered,2025-06-03 13:23:00,2025-06-01 13:23:00
order_000112,csess_0000041,2024-11-24 15:14:00,delivered,2024-11-30 15:14:00,2024-12-04 15:14:00
order_000113,csess_0000041,2024-01-27 17:44:00,delivered,2024-02-07 17:44:00,2024-02-10 17:44:00
order_000114,csess_0000043,2025-09-08 12:59:00,delivered,2025-10-10 12:59:00,2025-10-07 12:59:00
order_000115,csess_0000043,2025-12-05 13:26:00,delivered,2025-12-19 13:26:00,2025-12-26 13:26:00
order_000116,csess_0000044,2024-09-06 23:35:00,delivered,2024-09-11 23:35:00,2024-09-25 23:35:00
order_000117,csess_0000044,2025-09-17 07:27:00,delivered,2025-09-29 07:27:00,2025-10-01 07:27:00
order_000118,csess_0000044,2025-08-23 12:14:00,canceled,,2025-09-16 12:14:00
order_000119,csess_0000044,2025-10-16 09:10:00,delivered,2025-10-31 09:10:00,2025-11-06 09:10:00
order_000120,csess_0000045,2024-02-11 10:13:00,delivered,2024-02-27 10:13:00,2024-03-02 10:13:00
order_000121,csess_0000045,2024-11-30 15:04:00,delivered,2024-12-27 15:04:00,2024-12-22 15:04:00
order_000122,csess_0000045,2025-02-01 10:18:00,delivered,2025-02-09 10:18:00,2025-02-13 10:18:00
order_000123,csess_0000045,2025-11-12 05:08:00,delivered,2025-11-29 05:08:00,2025-12-03 05:08:00
order_000124,csess_0000046,2024-11-22 07:45:00,delivered,2024-12-02 07:45:00,2024-12-09 07:45:00
order_000125,csess_0000046,2025-04-25 23:35:00,delivered,2025-05-08 23:35:00,2025-05-15 23:35:00
order_000126,csess_0000046,2025-11-22 11:55:00,delivered,2025-12-03 11:55:00,2025-12-04 11:55:00
order_000127,csess_0000046,2025-09-27 17:24:00,delivered,2025-10-08 17:24:00,2025-10-05 17:24:00
order_000128,csess_0000047,2025-02-26 09:13:00,delivered,2025-03-12 09:13:00,2025-03-11 09:13:00
order_000129,csess_0000048,2025-11-16 22:37:00,delivered,2025-12-02 22:37:00,2025-12-08 22:37:00
order_000130,csess_0000048,2024-11-19 09:46:00,delivered,2024-12-09 09:46:00,2024-12-14 09:46:00
order_000131,csess_0000048,2024-01-28 22:23:00,delivered,2024-02-23 22:23:00,2024-02-24 22:23:00
order_000132,csess_0000048,2024-04-07 16:10:00,shipped,2024-04-21 16:10:00,2024-04-30 16:10:00
order_000133,csess_0000049,2024-08-07 18:26:00,delivered,2024-08-17 18:26:00,2024-08-23 18:26:00
order_000134,csess_0000049,2024-07-13 08:24:00,delivered,2024-07-30 08:24:00,2024-07-22 08:24:00
order_000135,csess_0000050,2025-12-24 16:53:00,delivered,2026-01-03 16:53:00,2026-01-02 16:53:00
order_000136,csess_0000050,2025-08-30 06:58:00,unavailable,,2025-09-17 06:58:00
order_000137,csess_0000051,2024-05-14 05:49:00,delivered,2024-05-29 05:49:00,2024-06-06 05:49:00
order_000138,csess_0000052,2025-03-23 10:53:00,delivered,2025-04-03 10:53:00,2025-04-02 10:53:00
order_000139,csess_0000052,2025-06-19 21:07:00,delivered,2025-07-08 21:07:00,2025-07-14 21:07:00
order_000140,csess_0000053,2024-03-21 09:53:00,canceled,,2024-03-29 09:53:00
order_000141,csess_0000053,2024-06-12 09:31:00,delivered,2024-07-01 09:31:00,2024-06-25 09:31:00
order_000142,csess_0000053,2025-08-02 14:08:00,delivered,2025-09-03 14:08:00,2025-08-30 14:08:00
order_000143,csess_0000053,2025-10-02 21:15:00,delivered,2025-10-20 21:15:00,2025-10-25 21:15:00
order_000144,csess_0000054,2025-11-20 10:09:00,delivered,2025-12-03 10:09:00,2025-12-05 10:09:00
order_000145,csess_0000054,2025-02-03 10:31:00,delivered,2025-02-20 10:31:00,2025-02-19 10:31:00
order_000146,csess_0000054,2025-04-10 14:26:00,delivered,2025-04-17 14:26:00,2025-04-18 14:26:00
order_000147,csess_0000055,2024-02-23 07:38:00,delivered,2024-02-28 07:38:00,2024-03-01 07:38:00
order_000148,csess_0000055,2024-06-15 19:56:00,delivered,2024-07-05 19:56:00,2024-07-03 19:56:00
order_000149,csess_0000055,2025-11-20 20:51:00,delivered,2025-11-30 20:51:00,2025-12-02 20:51:00
order_000150,csess_0000056,2025-06-19 07:39:00,delivered,2025-06-21 07:39:00,2025-06-26 07:39:00
order_000151,csess_0000057,2024-07-08 08:13:00,delivered,2024-07-10 08:13:00,2024-07-18 08:13:00
order_000152,csess_0000057,2024-07-29 09:42:00,delivered,2024-08-01 09:42:00,2024-08-05 09:42:00
order_000153,csess_0000057,2025-11-03 12:31:00,delivered,2025-11-18 12:31:00,2025-11-23 12:31:00
order_000154,csess_0000058,2024-12-23 15:39:00,delivered,2025-01-08 15:39:00,2025-01-09 15:39:00
order_000155,csess_0000058,2025-03-16 11:08:00,delivered,2025-04-01 11:08:00,2025-04-02 11:08:00
order_000156,csess_0000058,2025-07-12 10:42:00,delivered,2025-07-31 10:42:00,2025-08-05 10:42:00
order_000157,csess_0000058,2024-09-07 19:43:00,delivered,2024-10-04 19:43:00,2024-10-05 19:43:00
order_000158,csess_0000058,2024-06-27 11:30:00,delivered,2024-07-27 11:30:00,2024-07-22 11:30:00
order_000159,csess_0000058,2025-12-12 15:12:00,delivered,2025-12-28 15:12:00,2026-01-03 15:12:00
order_000160,csess_0000059,2024-11-24 16:39:00,shipped,2024-11-26 16:39:00,2024-12-01 16:39:00
order_000161,csess_0000058,2024-01-02 09:42:00,delivered,2024-01-25 09:42:00,2024-01-24 09:42:00
order_000162,csess_0000058,2025-09-22 10:25:00,delivered,2025-09-30 10:25:00,2025-10-01 10:25:00
order_000163,csess_0000060,2024-06-30 14:11:00,shipped,2024-07-16 14:11:00,2024-07-19 14:11:00
order_000164,csess_0000060,2024-11-30 08:50:00,canceled,,2024-12-28 08:50:00
order_000165,csess_0000060,2024-11-29 17:40:00,unavailable,,2024-12-07 17:40:00
order_000166,csess_0000060,2024-10-31 15:57:00,delivered,2024-11-06 15:57:00,2024-11-16 15:57:00
order_000167,csess_0000060,2024-02-13 10:19:00,delivered,2024-03-15 10:19:00,2024-03-13 10:19:00
order_000168,csess_0000060,2025-11-05 19:57:00,delivered,2025-11-15 19:57:00,2025-11-19 19:57:00
order_000169,csess_0000061,2025-01-24 15:50:00,delivered,2025-02-16 15:50:00,2025-02-16 15:50:00
order_000170,csess_0000061,2024-12-13 16:02:00,delivered,2025-01-02 16:02:00,2025-01-03 16:02:00
order_000171,csess_0000062,2025-03-05 16:57:00,delivered,2025-03-23 16:57:00,2025-03-28 16:57:00
order_000172,csess_0000062,2024-12-02 08:40:00,unavailable,,2024-12-30 08:40:00
order_000173,csess_0000062,2025-11-30 20:37:00,delivered,2025-12-18 20:37:00,2025-12-26 20:37:00
order_000174,csess_0000063,2024-05-29 11:46:00,delivered,2024-06-25 11:46:00,2024-06-27 11:46:00
order_000175,csess_0000063,2025-03-26 11:03:00,delivered,2025-04-16 11:03:00,2025-04-20 11:03:00
order_000176,csess_0000063,2025-06-14 15:28:00,delivered,2025-07-08 15:28:00,2025-07-10 15:28:00
order_000177,csess_0000063,2025-12-23 15:02:00,delivered,2026-01-01 15:02:00,2026-01-03 15:02:00
order_000178,csess_0000064,2024-06-02 11:00:00,processing,,2024-06-14 11:00:00
order_000179,csess_0000064,2024-07-21 13:22:00,delivered,2024-07-23 13:22:00,2024-08-01 13:22:00
order_000180,csess_0000064,2025-02-11 17:27:00,delivered,2025-02-17 17:27:00,2025-02-20 17:27:00
order_000181,csess_0000064,2024-12-21 20:22:00,shipped,2024-12-24 20:22:00,2024-12-29 20:22:00
order_000182,csess_0000064,2025-11-17 05:42:00,delivered,2025-11-28 05:42:00,2025-11-27 05:42:00
order_000183,csess_0000065,2024-10-26 12:30:00,delivered,2024-11-18 12:30:00,2024-11-23 12:30:00
order_000184,csess_0000065,2024-09-10 22:43:00,delivered,2024-09-28 22:43:00,2024-10-03 22:43:00
order_000185,csess_0000065,2024-02-27 19:41:00,delivered,2024-03-22 19:41:00,2024-03-22 19:41:00
order_000186,csess_0000065,2025-12-11 18:12:00,delivered,2025-12-21 18:12:00,2025-12-22 18:12:00
order_000187,csess_0000066,2024-03-06 07:06:00,delivered,2024-03-09 07:06:00,2024-03-13 07:06:00
order_000188,csess_0000066,2025-02-23 11:14:00,delivered,2025-03-08 11:14:00,2025-03-06 11:14:00
order_000189,csess_0000066,2025-10-20 13:59:00,delivered,2025-10-25 13:59:00,2025-10-30 13:59:00
order_000190,csess_0000067,2025-03-31 17:47:00,delivered,2025-04-30 17:47:00,2025-04-26 17:47:00
order_000191,csess_0000067,2025-09-30 07:37:00,delivered,2025-10-23 07:37:00,2025-10-21 07:37:00
order_000192,csess_0000067,2025-12-28 12:27:00,delivered,2026-01-15 12:27:00,2026-01-16 12:27:00
order_000193,csess_0000068,2025-03-31 08:10:00,delivered,2025-04-15 08:10:00,2025-04-23 08:10:00
order_000194,csess_0000068,2025-12-24 10:40:00,delivered,2026-01-11 10:40:00,2026-01-11 10:40:00
order_000195,csess_0000068,2024-03-02 12:23:00,delivered,2024-03-07 12:23:00,2024-03-15 12:23:00
order_000196,csess_0000069,2025-01-09 18:48:00,shipped,2025-02-02 18:48:00,2025-02-02 18:48:00
order_000197,csess_0000069,2024-12-25 16:46:00,delivered,2025-01-20 16:46:00,2025-01-14 16:46:00
order_000198,csess_0000069,2025-11-16 13:53:00,delivered,2025-12-06 13:53:00,2025-12-04 13:53:00
order_000199,csess_0000070,2025-11-15 14:06:00,shipped,2025-11-27 14:06:00,2025-11-28 14:06:00
order_000200,csess_0000070,2025-10-13 22:30:00,delivered,2025-11-05 22:30:00,2025-11-09 22:30:00
order_000201,csess_0000070,2025-02-01 16:59:00,canceled,,2025-02-24 16:59:00
order_000202,csess_0000070,2024-08-21 01:34:00,delivered,2024-09-07 01:34:00,2024-09-05 01:34:00
order_000203,csess_0000070,2025-06-13 21:06:00,delivered,2025-06-16 21:06:00,2025-06-24 21:06:00
order_000204,csess_0000070,2024-11-01 11:52:00,delivered,2024-11-15 11:52:00,2024-11-18 11:52:00
order_000205,csess_0000070,2025-08-06 15:30:00,delivered,2025-08-12 15:30:00,2025-08-15 15:30:00
order_000206,csess_0000070,2024-01-18 15:37:00,delivered,2024-01-27 15:37:00,2024-01-26 15:37:00
order_000207,csess_0000071,2024-04-28 16:31:00,delivered,2024-05-05 16:31:00,2024-05-10 16:31:00
order_000208,csess_0000071,2024-01-06 13:20:00,delivered,2024-01-22 13:20:00,2024-01-30 13:20:00
order_000209,csess_0000071,2024-08-30 16:19:00,delivered,2024-09-13 16:19:00,2024-09-17 16:19:00
order_000210,csess_0000071,2024-12-25 20:06:00,delivered,2025-01-08 20:06:00,2025-01-12 20:06:00
order_000211,csess_0000071,2025-07-01 13:24:00,delivered,2025-07-07 13:24:00,2025-07-14 13:24:00
order_000212,csess_0000071,2025-10-24 11:18:00,delivered,2025-11-19 11:18:00,2025-11-22 11:18:00
order_000213,csess_0000072,2024-09-19 21:17:00,delivered,2024-10-20 21:17:00,2024-10-16 21:17:00
order_000214,csess_0000072,2024-09-17 08:45:00,delivered,2024-09-30 08:45:00,2024-10-04 08:45:00
order_000215,csess_0000072,2025-11-22 23:13:00,delivered,2025-12-01 23:13:00,2025-11-30 23:13:00
order_000216,csess_0000072,2025-06-08 19:38:00,delivered,2025-06-16 19:38:00,2025-06-28 19:38:00
order_000217,csess_0000073,2024-10-01 07:08:00,shipped,2024-10-26 07:08:00,2024-10-27 07:08:00
order_000218,csess_0000073,2025-11-17 11:15:00,delivered,2025-12-09 11:15:00,2025-12-13 11:15:00
order_000219,csess_0000073,2025-02-12 07:56:00,processing,,2025-03-12 07:56:00
order_000220,csess_0000073,2024-10-30 22:43:00,delivered,2024-11-23 22:43:00,2024-11-26 22:43:00
order_000221,csess_0000074,2024-07-20 15:56:00,delivered,2024-08-10 15:56:00,2024-08-07 15:56:00
order_000222,csess_0000074,2024-10-05 11:06:00,delivered,2024-10-19 11:06:00,2024-10-22 11:06:00
order_000223,csess_0000074,2025-12-19 20:50:00,delivered,2026-01-10 20:50:00,2026-01-10 20:50:00
order_000224,csess_0000075,2025-08-23 16:11:00,delivered,2025-09-11 16:11:00,2025-09-12 16:11:00
order_000225,csess_0000075,2024-08-06 11:57:00,delivered,2024-08-22 11:57:00,2024-08-23 11:57:00
order_000226,csess_0000075,2025-04-27 15:20:00,delivered,2025-05-26 15:20:00,2025-05-23 15:20:00
order_000227,csess_0000075,2025-03-22 19:39:00,delivered,2025-04-01 19:39:00,2025-04-17 19:39:00
order_000228,csess_0000075,2025-07-09 13:40:00,delivered,2025-07-31 13:40:00,2025-08-04 13:40:00
order_000229,csess_0000075,2025-10-09 02:03:00,delivered,2025-11-01 02:03:00,2025-11-03 02:03:00
order_000230,csess_0000075,2024-10-07 17:57:00,processing,,2024-10-18 17:57:00
order_000231,csess_0000076,2024-06-29 13:16:00,delivered,2024-07-10 13:16:00,2024-07-12 13:16:00
order_000232,csess_0000076,2025-12-20 10:20:00,delivered,2025-12-29 10:20:00,2026-01-01 10:20:00
order_000233,csess_0000076,2025-02-17 20:24:00,delivered,2025-02-23 20:24:00,2025-03-02 20:24:00
order_000234,csess_0000077,2025-03-25 21:22:00,delivered,2025-04-08 21:22:00,2025-04-13 21:22:00
order_000235,csess_0000077,2025-04-08 14:34:00,delivered,2025-04-27 14:34:00,2025-05-03 14:34:00
order_000236,csess_0000077,2025-03-30 11:58:00,delivered,2025-04-22 11:58:00,2025-04-24 11:58:00
order_000237,csess_0000077,2024-10-09 17:29:00,delivered,2024-10-30 17:29:00,2024-11-06 17:29:00
order_000238,csess_0000077,2025-11-29 03:22:00,delivered,2025-12-18 03:22:00,2025-12-19 03:22:00
order_000239,csess_0000078,2024-07-21 11:08:00,delivered,2024-08-07 11:08:00,2024-08-08 11:08:00
order_000240,csess_0000078,2024-05-03 10:50:00,delivered,2024-05-30 10:50:00,2024-05-31 10:50:00
order_000241,csess_0000078,2025-12-05 11:14:00,delivered,2025-12-18 11:14:00,2025-12-15 11:14:00
order_000242,csess_0000079,2024-01-24 10:59:00,unavailable,,2024-02-04 10:59:00
order_000243,csess_0000079,2025-10-09 09:55:00,delivered,2025-10-25 09:55:00,2025-10-26 09:55:00
order_000244,csess_0000080,2025-07-11 04:24:00,delivered,2025-07-13 04:24:00,2025-07-27 04:24:00
order_000245,csess_0000080,2024-04-16 13:22:00,delivered,2024-04-28 13:22:00,2024-04-26 13:22:00
order_000246,csess_0000080,2025-11-15 10:22:00,processing,,2025-12-02 10:22:00
order_000247,csess_0000082,2025-06-14 21:05:00,canceled,,2025-07-11 21:05:00
order_000248,csess_0000083,2024-12-28 17:34:00,delivered,2025-01-18 17:34:00,2025-01-15 17:34:00
order_000249,csess_0000083,2025-09-12 19:02:00,delivered,2025-09-19 19:02:00,2025-09-21 19:02:00
order_000250,csess_0000083,2024-11-18 14:03:00,delivered,2024-12-08 14:03:00,2024-12-15 14:03:00
order_000251,csess_0000083,2024-01-06 14:58:00,delivered,2024-01-31 14:58:00,2024-01-29 14:58:00
order_000252,csess_0000083,2025-12-14 13:02:00,delivered,2025-12-31 13:02:00,2026-01-02 13:02:00
order_000253,csess_0000085,2025-05-02 08:08:00,delivered,2025-05-09 08:08:00,2025-05-09 08:08:00
order_000254,csess_0000085,2024-05-25 16:19:00,delivered,2024-06-10 16:19:00,2024-06-14 16:19:00
order_000255,csess_0000084,2024-07-26 19:00:00,delivered,2024-08-01 19:00:00,2024-08-07 19:00:00
order_000256,csess_0000085,2025-10-18 18:31:00,delivered,2025-11-02 18:31:00,2025-11-01 18:31:00
order_000257,csess_0000086,2024-06-12 22:12:00,delivered,2024-06-30 22:12:00,2024-07-08 22:12:00
