customer_unique_id,frequency,monetary,recency_days,avg_order_value,avg_review_score,review_count,tenure_days,avg_days_between_orders,avg_installments,payment_type_diversity,late_delivery_rate,category_diversity,churned
cust_000113,9,1301.78,26,144.64,3.0,6,649,80.8,2.7,1,0.222,8,0
cust_000114,1,43.1,526,43.1,5.0,1,0,0.0,1.0,1,0.0,1,1
cust_000116,3,704.88,75,234.96,3.67,3,330,165.0,1.0,1,0.333,4,0
cust_000117,2,132.95,82,66.47,4.0,2,238,238.0,3.0,1,0.5,2,0
cust_000118,1,147.76,598,147.76,4.0,1,0,0.0,3.0,1,0.0,1,1
cust_000119,4,707.08,25,176.77,4.33,3,664,221.0,1.0,1,0.25,5,0
cust_000120,3,186.29,235,62.1,4.33,3,474,237.0,2.0,1,0.0,2,1
cust_000121,4,221.18,28,55.3,4.5,2,338,112.7,3.2,1,0.25,3,0
cust_000122,3,539.36,54,179.79,4.33,3,300,150.0,1.7,1,0.0,3,0
cust_000123,3,245.51,53,81.84,3.33,3,489,244.0,4.3,1,0.333,4,0
cust_000124,2,794.6,472,397.3,2.5,2,109,109.0,2.0,1,0.0,4,1
cust_000125,5,810.69,39,162.14,4.25,4,514,128.2,1.4,1,0.6,6,0
cust_000126,8,949.71,10,118.71,3.75,8,584,83.1,2.1,1,0.375,6,0
cust_000127,2,307.58,8,153.79,5.0,2,15,15.0,5.5,1,0.0,2,0
cust_000128,7,727.72,75,103.96,4.17,6,444,73.7,2.6,1,0.0,6,0
cust_000129,4,480.35,60,120.09,4.0,4,541,180.0,1.2,1,0.0,3,0
cust_000130,4,749.79,31,187.45,4.0,4,357,118.7,1.5,1,0.0,5,0
cust_000131,3,483.1,89,161.03,2.67,3,572,285.5,2.3,1,0.0,4,0
cust_000132,3,276.81,53,92.27,2.5,2,442,220.5,1.0,1,1.0,2,0
cust_000133,7,1159.03,31,165.58,4.0,6,354,58.5,2.1,1,0.286,8,0
cust_000134,3,257.61,151,85.87,1.0,3,523,261.0,4.3,1,0.667,3,1
cust_000135,5,822.88,27,164.58,3.6,5,416,103.5,2.6,1,0.0,7,0
cust_000137,8,2386.73,23,298.34,4.12,8,633,90.0,1.9,1,0.125,10,0
cust_000138,2,580.27,21,290.14,1.5,2,661,661.0,3.0,1,0.5,2,0
cust_000139,6,1290.16,48,215.03,4.17,6,598,119.2,1.2,1,0.333,6,0
cust_000140,2,337.37,498,168.68,5.0,2,46,46.0,6.5,1,0.0,3,1
cust_000141,3,200.99,90,67.0,2.67,3,501,250.5,4.7,1,0.0,3,1
cust_000142,3,544.34,17,181.45,5.0,3,562,280.5,4.3,1,0.667,4,0
cust_000143,3,528.34,17,176.11,3.0,3,531,265.0,4.0,1,0.333,3,0
cust_000144,2,647.14,4,323.57,4.0,2,531,531.0,3.0,1,0.0,4,0
cust_000145,6,871.95,25,145.33,3.4,5,285,56.6,3.0,1,0.167,8,0
cust_000146,1,87.72,379,87.72,5.0,1,0,0.0,5.0,1,0.0,1,1
cust_000147,7,1640.9,38,234.41,4.0,7,644,106.8,2.6,1,0.143,8,0
cust_000149,2,236.19,16,118.1,2.0,1,550,550.0,1.0,1,0.0,2,0
cust_000150,2,492.91,63,246.46,4.0,1,358,358.0,1.5,1,0.0,5,0
cust_000151,2,123.7,219,61.85,5.0,2,431,431.0,3.0,1,0.5,2,1
cust_000152,2,232.99,53,116.5,5.0,2,641,641.0,1.0,1,0.0,3,0
cust_000153,3,318.64,28,106.21,4.0,3,490,245.0,2.3,1,0.0,4,0
cust_000154,4,689.36,55,172.34,4.5,4,516,171.7,3.2,1,0.0,4,0
cust_000155,2,206.9,5,103.45,5.0,2,88,88.0,1.5,1,0.0,2,0
cust_000156,2,196.2,64,98.1,4.5,2,211,211.0,1.5,1,0.0,2,0
cust_000157,2,396.38,51,198.19,1.5,2,423,423.0,1.0,1,0.5,2,0
cust_000158,3,716.24,33,238.75,3.0,3,664,332.0,2.3,1,0.333,3,0
cust_000159,2,285.21,4,142.6,3.5,2,402,402.0,1.0,1,0.0,2,0
cust_000160,2,247.83,42,123.92,5.0,2,577,577.0,5.0,1,0.5,2,0
cust_000161,1,198.26,406,198.26,5.0,1,0,0.0,2.0,1,1.0,2,1
cust_000162,5,675.31,48,135.06,4.5,4,672,167.8,1.6,1,0.8,6,0
cust_000163,2,333.47,86,166.74,4.5,2,517,517.0,1.0,1,0.5,2,0
cust_000164,4,544.97,25,136.24,4.25,4,675,224.7,2.0,1,0.5,4,0
cust_000165,3,515.46,261,171.82,4.0,2,429,214.0,1.0,1,0.333,4,1
cust_000166,2,350.49,58,175.24,4.5,2,316,316.0,1.0,1,0.5,2,0
cust_000167,1,49.26,406,49.26,1.0,1,0,0.0,8.0,1,0.0,1,1
cust_000168,2,121.72,179,60.86,3.0,2,218,218.0,2.0,1,0.0,2,1
cust_000169,1,21.29,254,21.29,4.0,1,0,0.0,5.0,1,0.0,1,1
cust_000170,2,129.54,26,64.77,4.0,2,517,517.0,2.0,1,0.5,2,0
cust_000171,4,1129.74,4,282.44,4.75,4,671,223.3,3.8,1,0.25,6,0
cust_000172,2,236.5,405,118.25,4.0,2,177,177.0,3.0,1,0.0,2,1
cust_000173,1,167.17,590,167.17,4.0,1,0,0.0,1.0,1,0.0,1,1
cust_000174,2,435.14,46,217.57,3.0,2,68,68.0,4.0,1,0.0,3,0
cust_000175,2,302.97,60,151.49,4.0,2,10,10.0,4.5,1,1.0,3,0
cust_000176,3,424.11,68,141.37,3.67,3,287,143.0,5.0,1,0.333,3,0
cust_000177,6,1399.14,25,233.19,3.4,5,673,134.2,2.2,1,0.5,9,0
cust_000178,2,287.58,17,143.79,4.5,2,376,376.0,2.5,1,0.0,2,0
cust_000179,2,284.25,39,142.12,4.0,2,124,124.0,3.0,1,0.5,3,0
cust_000180,5,574.54,56,114.91,3.0,5,436,108.2,3.0,1,0.2,5,0
cust_000181,2,170.91,381,85.46,3.0,2,221,221.0,3.0,1,0.0,2,1
cust_000182,1,134.46,638,134.46,5.0,1,0,0.0,3.0,1,0.0,1,1
cust_000183,2,229.45,65,114.72,4.0,2,192,192.0,2.0,1,0.0,3,0
cust_000184,1,128.56,4,128.56,5.0,1,0,0.0,1.0,1,0.0,1,0
cust_000185,3,302.83,283,100.94,4.33,3,375,187.0,6.0,1,0.0,3,1
cust_000186,3,347.51,262,115.84,4.33,3,129,64.5,3.7,1,0.0,2,1
cust_000187,3,508.86,62,169.62,4.0,3,507,253.5,5.0,1,0.0,4,0
cust_000188,3,666.68,0,222.23,3.0,3,405,202.5,1.7,1,0.0,2,0
cust_000189,4,622.57,41,155.64,3.75,4,675,224.7,5.2,1,0.0,3,0
cust_000190,3,688.41,33,229.47,4.67,3,529,264.5,1.3,1,0.0,4,0
cust_000191,5,982.55,80,196.51,4.6,5,579,144.5,2.8,1,0.0,5,0
cust_000192,1,120.63,329,120.63,2.0,1,0,0.0,8.0,1,0.0,1,1
cust_000193,3,249.39,23,83.13,4.5,2,290,145.0,1.0,1,0.0,2,0
cust_000194,3,390.46,228,130.15,4.33,3,179,89.0,1.0,1,0.333,4,1
cust_000195,3,266.75,38,88.92,2.67,3,373,186.0,1.0,1,0.333,3,0
cust_000196,4,490.6,42,122.65,3.75,4,371,123.3,2.2,1,0.0,4,0
cust_000197,2,177.46,2,88.73,3.5,2,275,275.0,3.5,1,1.0,2,0
cust_000198,1,265.46,382,265.46,2.0,1,0,0.0,1.0,1,0.0,1,1
cust_000199,3,358.47,61,119.49,4.5,2,657,328.5,1.3,1,0.333,4,0
cust_000200,7,2024.71,4,289.24,3.71,7,545,90.3,3.9,1,0.429,6,0
cust_000201,1,94.86,13,94.86,5.0,1,0,0.0,4.0,1,0.0,1,0
cust_000202,2,148.07,345,74.04,3.0,2,130,130.0,4.5,1,0.5,2,1
cust_000203,4,703.6,20,175.9,3.67,3,539,179.3,2.2,1,0.0,4,0
cust_000204,3,355.58,4,118.53,3.33,3,575,287.5,3.7,1,0.0,3,0
cust_000205,2,176.94,189,88.47,3.0,2,407,407.0,2.5,1,0.5,3,1
cust_000206,5,510.45,31,102.09,3.8,5,427,106.5,2.6,1,0.2,6,0
cust_000207,1,117.52,413,117.52,4.0,1,0,0.0,1.0,1,0.0,1,1
cust_000208,2,235.23,29,117.62,5.0,1,352,352.0,2.5,1,0.0,3,0
cust_000209,4,379.24,25,94.81,4.0,4,159,52.7,2.0,1,0.25,5,0
cust_000210,5,386.33,66,77.27,3.0,4,511,127.5,2.0,1,0.8,3,0
cust_000211,4,804.77,7,201.19,3.33,3,666,222.0,2.8,1,0.25,6,0
cust_000212,1,243.81,577,243.81,5.0,1,0,0.0,1.0,1,0.0,3,1
cust_000213,1,166.8,418,166.8,2.0,1,0,0.0,6.0,1,0.0,1,1
cust_000214,2,302.4,36,151.2,5.0,2,413,413.0,5.5,1,0.5,3,0
cust_000215,1,70.33,662,70.33,4.0,1,0,0.0,2.0,1,0.0,1,1
cust_000216,6,1567.88,25,261.31,4.2,5,700,139.8,2.0,1,0.333,5,0
cust_000217,1,78.19,492,78.19,3.0,1,0,0.0,1.0,1,1.0,1,1
cust_000218,3,477.1,10,159.03,3.67,3,638,318.5,2.0,1,0.333,3,0
cust_000219,4,647.57,72,161.89,4.75,4,284,94.3,2.0,1,0.25,5,0
cust_000220,8,1368.51,52,171.06,3.38,8,669,95.3,3.9,1,0.5,8,0
cust_000221,3,501.85,53,167.28,4.67,3,455,227.5,1.0,1,0.0,5,0
cust_000222,2,763.14,299,381.57,4.5,2,323,323.0,1.5,1,0.0,3,1
cust_000223,4,512.96,66,128.24,4.33,3,498,165.7,3.8,1,0.5,4,0
cust_000224,2,379.4,188,189.7,3.0,1,499,499.0,1.0,1,0.0,1,1
cust_000225,1,23.41,223,23.41,5.0,1,0,0.0,1.0,1,0.0,1,1
cust_000226,1,299.92,318,299.92,1.0,1,0,0.0,2.0,1,0.0,2,1
cust_000227,1,64.54,88,64.54,5.0,1,0,0.0,1.0,1,1.0,1,0
cust_000228,6,838.08,2,139.68,3.33,6,709,141.4,2.7,1,0.333,5,0
cust_000229,3,840.32,17,280.11,4.33,3,705,352.0,4.7,1,0.0,3,0
cust_000230,2,166.48,113,83.24,0.0,0,122,122.0,1.0,1,0.0,2,1
cust_000231,2,342.2,48,171.1,4.5,2,39,39.0,1.0,1,0.0,3,0
cust_000232,5,846.9,55,169.38,4.75,4,523,130.2,4.6,1,0.4,6,0
cust_000233,3,482.85,20,160.95,4.33,3,425,212.5,3.3,1,0.333,3,0
cust_000234,2,931.1,90,465.55,5.0,2,415,415.0,3.5,1,0.0,2,1
cust_000235,2,309.57,8,154.78,5.0,1,279,279.0,3.0,1,0.0,1,0
cust_000236,9,1450.32,29,161.15,3.38,8,686,85.1,2.4,1,0.111,7,0
cust_000237,1,159.22,621,159.22,4.0,1,0,0.0,8.0,1,0.0,2,1
cust_000238,5,678.14,1,135.63,4.33,3,702,174.8,4.2,1,0.4,6,0
cust_000239,2,652.9,334,326.45,4.5,2,8,8.0,5.5,1,0.5,4,1
cust_000240,3,311.12,8,103.71,4.67,3,495,247.5,2.3,1,0.333,3,0
cust_000242,4,524.31,79,131.08,5.0,2,491,163.3,2.8,1,0.5,4,0
cust_000243,3,283.41,135,94.47,4.33,3,217,108.0,2.7,1,0.333,3,1
cust_000244,1,122.6,32,122.6,0.0,0,0,0.0,10.0,1,0.0,1,0
cust_000245,7,734.62,76,104.95,3.67,6,593,98.5,3.4,1,0.0,7,0
cust_000246,2,298.87,41,149.44,5.0,2,477,477.0,5.5,1,0.0,3,0
cust_000247,1,74.71,491,74.71,4.0,1,0,0.0,2.0,1,0.0,1,1
cust_000248,4,507.89,66,126.97,4.5,2,534,178.0,2.0,1,0.5,5,0
cust_000249,5,541.22,22,108.24,4.4,5,472,117.8,3.4,1,0.2,6,0
cust_000250,3,839.73,27,279.91,5.0,3,485,242.0,5.0,1,0.667,4,0
cust_000251,1,169.8,78,169.8,5.0,1,0,0.0,1.0,1,0.0,2,0
cust_000252,6,1684.66,59,280.78,3.5,4,529,105.6,2.2,1,0.333,9,0
cust_000253,9,1325.35,30,147.26,4.14,7,540,67.0,2.6,1,0.111,11,0
cust_000254,6,714.29,36,119.05,3.5,4,551,109.8,3.7,1,0.333,5,0
cust_000255,4,603.54,5,150.88,5.0,2,685,228.0,2.0,1,0.0,5,0
cust_000257,3,291.64,84,97.21,4.33,3,283,141.0,5.3,1,0.333,3,0
cust_000258,7,1043.87,42,149.12,3.14,7,641,106.3,4.4,1,0.286,7,0
cust_000259,5,1505.34,11,301.07,4.8,5,552,137.5,3.6,1,0.4,6,0
cust_000260,1,98.41,253,98.41,0.0,0,0,0.0,1.0,1,0.0,1,1
cust_000261,4,349.83,19,87.46,2.75,4,671,223.3,2.5,1,0.0,5,0
cust_000262,2,358.86,5,179.43,2.0,2,586,586.0,1.5,1,0.0,3,0
cust_000263,4,667.89,83,166.97,2.5,4,379,126.0,2.5,1,0.5,5,0
cust_000264,2,172.74,562,86.37,4.0,2,125,125.0,2.5,1,0.5,2,1
cust_000265,3,386.64,0,128.88,4.5,2,443,221.5,1.3,1,0.667,4,0
cust_000266,2,330.72,90,165.36,5.0,2,24,24.0,1.5,1,0.0,2,1
cust_000267,3,477.64,77,159.21,4.67,3,603,301.5,2.7,1,0.0,3,0
cust_000268,1,66.59,194,66.59,5.0,1,0,0.0,1.0,1,0.0,1,1
cust_000269,2,487.05,27,243.52,4.5,2,286,286.0,2.0,1,0.0,2,0
cust_000270,4,719.49,54,179.87,4.0,4,314,104.3,2.2,1,0.0,5,0
cust_000271,1,246.38,343,246.38,5.0,1,0,0.0,1.0,1,0.0,1,1
cust_000272,2,199.48,512,99.74,4.0,2,114,114.0,4.5,1,0.0,2,1
cust_000273,2,668.31,270,334.16,4.5,2,296,296.0,5.5,1,0.5,4,1
cust_000274,3,544.43,88,181.48,4.67,3,294,147.0,4.3,1,0.333,3,0
cust_000275,3,438.4,39,146.13,4.33,3,677,338.0,4.3,1,0.667,2,0
cust_000276,3,942.3,12,314.1,4.0,2,516,258.0,3.0,1,0.0,4,0
cust_000278,2,174.72,558,87.36,4.5,2,84,84.0,6.5,1,0.5,2,1
cust_000279,2,239.4,22,119.7,4.5,2,59,59.0,2.5,1,0.0,2,0
cust_000280,1,156.14,238,156.14,0.0,0,0,0.0,1.0,1,0.0,2,1
cust_000281,2,286.14,73,143.07,3.5,2,56,56.0,2.0,1,0.5,3,0
cust_000282,3,204.26,58,68.09,3.33,3,468,233.5,2.7,1,0.0,3,0
cust_000283,7,1723.31,12,246.19,4.67,6,676,112.0,2.6,1,0.143,7,0
cust_000284,4,1361.6,57,340.4,3.67,3,622,207.0,3.8,1,0.0,5,0
cust_000285,3,591.21,49,197.07,3.67,3,447,223.5,3.0,1,0.333,6,0
cust_000286,8,1807.91,18,225.99,3.12,8,566,80.4,2.5,1,0.375,10,0
cust_000287,2,198.3,120,99.15,5.0,2,249,249.0,6.0,1,1.0,2,1
cust_000288,3,345.73,31,115.24,5.0,3,537,268.5,3.3,1,0.0,4,0
cust_000289,8,1113.82,87,139.23,3.0,7,620,88.1,4.0,1,0.0,7,0
cust_000290,1,51.07,588,51.07,1.0,1,0,0.0,1.0,1,0.0,1,1
cust_000291,2,332.89,52,166.44,4.0,1,175,175.0,5.0,1,0.0,2,0
cust_000292,2,509.34,27,254.67,0.0,0,582,582.0,2.0,1,0.5,3,0
cust_000293,2,736.76,90,368.38,3.5,2,48,48.0,2.5,1,0.0,2,1
cust_000294,6,573.84,32,95.64,4.8,5,675,134.6,3.7,1,0.333,5,0
cust_000295,2,337.08,24,168.54,5.0,2,372,372.0,1.0,1,0.5,3,0
cust_000296,7,942.73,19,134.68,4.0,7,629,104.2,2.3,1,0.429,7,0
cust_000297,1,79.7,42,79.7,5.0,1,0,0.0,5.0,1,0.0,1,0
cust_000298,5,748.19,31,149.64,3.25,4,672,167.8,4.4,1,0.6,6,0
cust_000299,2,445.15,21,222.58,5.0,2,330,330.0,2.5,1,1.0,3,0
cust_000300,3,368.89,25,122.96,4.0,3,452,225.5,1.0,1,0.333,4,0
cust_000301,3,1002.82,19,334.27,3.67,3,548,273.5,2.7,1,0.0,3,0
cust_000302,6,1474.87,55,245.81,3.83,6,660,132.0,1.8,1,0.0,11,0
cust_000303,1,427.71,600,427.71,4.0,1,0,0.0,1.0,1,0.0,3,1
cust_000304,5,616.54,86,123.31,4.0,5,612,152.5,2.0,1,0.4,5,0
cust_000305,2,283.15,408,141.57,4.5,2,56,56.0,5.5,1,0.0,3,1
cust_000306,3,372.18,36,124.06,4.0,3,520,259.5,3.3,1,0.0,4,0
cust_000307,3,315.73,25,105.24,4.67,3,424,212.0,1.0,1,0.0,3,0
cust_000308,3,271.99,43,90.66,5.0,2,539,269.5,2.0,1,0.0,3,0
cust_000309,1,206.8,301,206.8,2.0,1,0,0.0,2.0,1,1.0,2,1
cust_000310,1,141.87,452,141.87,0.0,0,0,0.0,4.0,1,1.0,2,1
cust_000311,3,161.52,74,53.84,5.0,2,332,166.0,1.0,1,0.333,2,0
cust_000312,2,224.09,313,112.04,3.0,1,320,320.0,1.0,1,0.0,3,1
cust_000313,2,528.76,85,264.38,5.0,2,320,320.0,5.5,1,0.0,2,0
cust_000314,2,337.87,35,168.94,2.0,2,528,528.0,1.5,1,0.0,4,0
cust_000315,3,461.48,67,153.83,3.0,3,628,313.5,1.7,1,0.667,3,0
cust_000316,4,425.7,14,106.42,3.0,3,400,133.3,1.2,1,0.25,5,0
cust_000317,2,256.61,264,128.3,3.5,2,107,107.0,1.5,1,0.5,4,1
cust_000318,3,404.11,20,134.7,1.0,2,367,183.0,1.0,1,0.0,3,0
cust_000319,1,108.23,607,108.23,4.0,1,0,0.0,1.0,1,0.0,1,1
cust_000320,2,479.04,532,239.52,4.0,2,171,171.0,2.0,1,0.0,2,1
cust_000321,2,195.34,279,97.67,3.5,2,125,125.0,1.5,1,0.0,2,1
